site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
azi.cn,Compositae,"Cirsium souliei","Cirsium souliei",8,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Cremanthodium lineare","Cremanthodium lineare",6,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Leontopodium nanum","Leontopodium nanum",25,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Saussurea bodinieri","Saussurea pachyneura",1,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Saussurea neofranchetii","Saussurea neofranchetii",19,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Saussurea nigrescens","Saussurea nigrescens",8,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Saussurea sp","Saussurea sp.",9,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Saussurea stella","Saussurea stella",23,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Taraxacum mongolicum","Taraxacum mongolicum",30,NAT,PERENNIAL,HERB,FORB,NULL
azi.cn,Compositae,"Xanthopappus subacaulis","Xanthopappus subacaulis",1,NULL,NULL,NULL,NULL,NULL
